country,president,year,mentions
Afghanistan,Barack Obama,2008,3
Afghanistan,Barack Obama,2009,684
Afghanistan,Barack Obama,2010,448
Afghanistan,Barack Obama,2011,306
Afghanistan,Barack Obama,2012,522
Afghanistan,Barack Obama,2013,271
Afghanistan,Barack Obama,2014,228
Afghanistan,Barack Obama,2015,188
Afghanistan,Barack Obama,2016,155
Afghanistan,Barack Obama,2017,15
Afghanistan,Donald J. Trump (1st Term),2017,109
Afghanistan,Donald J. Trump (1st Term),2018,77
Afghanistan,Donald J. Trump (1st Term),2019,245
Afghanistan,Donald J. Trump (1st Term),2020,138
Afghanistan,Donald J. Trump (1st Term),2021,17
Afghanistan,Donald J. Trump (1st Term),2024,4
Afghanistan,Donald J. Trump (2nd Term),2025,162
Afghanistan,Donald J. Trump (2nd Term),2026,6
Afghanistan,Dwight D. Eisenhower,1959,5
Afghanistan,George Bush,1989,33
Afghanistan,George Bush,1990,4
Afghanistan,George Bush,1991,9
Afghanistan,George Bush,1992,5
Afghanistan,George W. Bush,2001,361
Afghanistan,George W. Bush,2002,487
Afghanistan,George W. Bush,2003,332
Afghanistan,George W. Bush,2004,1593
Afghanistan,George W. Bush,2005,379
Afghanistan,George W. Bush,2006,496
Afghanistan,George W. Bush,2007,432
Afghanistan,George W. Bush,2008,538
Afghanistan,George W. Bush,2009,6
Afghanistan,George W. Bush,2011,1
Afghanistan,Gerald R. Ford,1974,2
Afghanistan,Herbert Hoover,1929,1
Afghanistan,Jimmy Carter,1977,1
Afghanistan,Jimmy Carter,1978,1
Afghanistan,Jimmy Carter,1979,16
Afghanistan,Jimmy Carter,1980,452
Afghanistan,Jimmy Carter,1981,1
Afghanistan,John F. Kennedy,1962,2
Afghanistan,John F. Kennedy,1963,4
Afghanistan,"Joseph R. Biden, Jr.",2020,2
Afghanistan,"Joseph R. Biden, Jr.",2021,391
Afghanistan,"Joseph R. Biden, Jr.",2022,67
Afghanistan,"Joseph R. Biden, Jr.",2023,26
Afghanistan,"Joseph R. Biden, Jr.",2024,32
Afghanistan,"Joseph R. Biden, Jr.",2025,12
Afghanistan,Lyndon B. Johnson,1965,1
Afghanistan,Lyndon B. Johnson,1967,6
Afghanistan,Richard Nixon,1969,2
Afghanistan,Richard Nixon,1971,1
Afghanistan,Ronald Reagan,1980,2
Afghanistan,Ronald Reagan,1981,28
Afghanistan,Ronald Reagan,1982,63
Afghanistan,Ronald Reagan,1983,52
Afghanistan,Ronald Reagan,1984,94
Afghanistan,Ronald Reagan,1985,88
Afghanistan,Ronald Reagan,1986,49
Afghanistan,Ronald Reagan,1987,102
Afghanistan,Ronald Reagan,1988,148
Afghanistan,Ronald Reagan,1989,3
Afghanistan,William J. Clinton,1993,1
Afghanistan,William J. Clinton,1994,2
Afghanistan,William J. Clinton,1995,1
Afghanistan,William J. Clinton,1996,1
Afghanistan,William J. Clinton,1998,14
Afghanistan,William J. Clinton,1999,16
Afghanistan,William J. Clinton,2000,3
Albania,Barack Obama,2009,9
Albania,Donald J. Trump (1st Term),2019,1
Albania,Donald J. Trump (2nd Term),2025,3
Albania,Franklin D. Roosevelt,1939,4
Albania,Franklin D. Roosevelt,1941,1
Albania,George Bush,1991,1
Albania,George Bush,1992,2
Albania,George W. Bush,2001,1
Albania,George W. Bush,2003,2
Albania,George W. Bush,2004,1
Albania,George W. Bush,2005,1
Albania,George W. Bush,2006,2
Albania,George W. Bush,2007,53
Albania,George W. Bush,2008,31
Albania,Herbert Hoover,1929,1
Albania,John F. Kennedy,1961,2
Albania,John F. Kennedy,1962,1
Albania,Ronald Reagan,1988,1
Albania,William J. Clinton,1992,1
Albania,William J. Clinton,1993,4
Albania,William J. Clinton,1994,1
Albania,William J. Clinton,1996,7
Albania,William J. Clinton,1997,6
Albania,William J. Clinton,1998,9
Albania,William J. Clinton,1999,88
Albania,William J. Clinton,2000,1
Algeria,Barack Obama,2010,1
Algeria,Barack Obama,2013,2
Algeria,Barack Obama,2014,1
Algeria,Donald J. Trump (2nd Term),2025,1
Algeria,Dwight D. Eisenhower,1956,1
Algeria,Dwight D. Eisenhower,1957,5
Algeria,Dwight D. Eisenhower,1958,2
Algeria,Dwight D. Eisenhower,1959,2
Algeria,Franklin D. Roosevelt,1942,1
Algeria,George Bush,1990,3
Algeria,George Bush,1991,3
Algeria,George Bush,1992,1
Algeria,George W. Bush,2002,2
Algeria,George W. Bush,2005,7
Algeria,George W. Bush,2006,2
Algeria,George W. Bush,2007,4
Algeria,George W. Bush,2008,4
Algeria,Jimmy Carter,1977,2
Algeria,Jimmy Carter,1978,1
Algeria,Jimmy Carter,1980,2
Algeria,Jimmy Carter,1981,1
Algeria,John F. Kennedy,1961,1
Algeria,John F. Kennedy,1962,10
Algeria,"Joseph R. Biden, Jr.",2023,1
Algeria,Lyndon B. Johnson,1964,1
Algeria,Richard Nixon,1974,1
Algeria,Ronald Reagan,1981,4
Algeria,Ronald Reagan,1985,20
Algeria,William J. Clinton,1994,14
Algeria,William J. Clinton,1995,2
Algeria,William J. Clinton,1998,2
Angola,Barack Obama,2013,1
Angola,Barack Obama,2014,1
Angola,Barack Obama,2015,2
Angola,Barack Obama,2016,2
Angola,Donald J. Trump (1st Term),2018,3
Angola,Donald J. Trump (1st Term),2019,5
Angola,Donald J. Trump (2nd Term),2025,8
Angola,George Bush,1989,9
Angola,George Bush,1990,7
Angola,George Bush,1991,12
Angola,George Bush,1992,4
Angola,George W. Bush,2001,1
Angola,George W. Bush,2005,1
Angola,George W. Bush,2006,2
Angola,George W. Bush,2007,2
Angola,George W. Bush,2008,3
Angola,Gerald R. Ford,1975,35
Angola,Gerald R. Ford,1976,113
Angola,Jimmy Carter,1977,17
Angola,Jimmy Carter,1978,47
Angola,Jimmy Carter,1979,4
Angola,Jimmy Carter,1980,29
Angola,John F. Kennedy,1961,1
Angola,John F. Kennedy,1963,1
Angola,"Joseph R. Biden, Jr.",2022,15
Angola,"Joseph R. Biden, Jr.",2023,32
Angola,"Joseph R. Biden, Jr.",2024,66
Angola,"Joseph R. Biden, Jr.",2025,4
Angola,Ronald Reagan,1981,2
Angola,Ronald Reagan,1982,5
Angola,Ronald Reagan,1983,6
Angola,Ronald Reagan,1984,20
Angola,Ronald Reagan,1985,29
Angola,Ronald Reagan,1986,27
Angola,Ronald Reagan,1987,32
Angola,Ronald Reagan,1988,34
Angola,Ronald Reagan,1989,1
Angola,William J. Clinton,1993,12
Angola,William J. Clinton,1994,7
Angola,William J. Clinton,1995,8
Angola,William J. Clinton,1996,1
Angola,William J. Clinton,1997,3
Angola,William J. Clinton,1998,2
Angola,William J. Clinton,1999,3
Angola,William J. Clinton,2000,2
Argentina,Barack Obama,2009,1
Argentina,Barack Obama,2010,5
Argentina,Barack Obama,2011,11
Argentina,Barack Obama,2012,2
Argentina,Barack Obama,2013,2
Argentina,Barack Obama,2014,1
Argentina,Barack Obama,2015,2
Argentina,Barack Obama,2016,88
Argentina,Calvin Coolidge,1925,4
Argentina,Calvin Coolidge,1926,7
Argentina,Donald J. Trump (1st Term),2017,5
Argentina,Donald J. Trump (1st Term),2018,16
Argentina,Donald J. Trump (1st Term),2019,16
Argentina,Donald J. Trump (1st Term),2020,2
Argentina,Donald J. Trump (2nd Term),2025,110
Argentina,Donald J. Trump (2nd Term),2026,1
Argentina,Dwight D. Eisenhower,1956,1
Argentina,Dwight D. Eisenhower,1958,1
Argentina,Dwight D. Eisenhower,1959,2
Argentina,Dwight D. Eisenhower,1960,22
Argentina,Franklin D. Roosevelt,1933,2
Argentina,Franklin D. Roosevelt,1936,6
Argentina,Franklin D. Roosevelt,1938,1
Argentina,Franklin D. Roosevelt,1941,1
Argentina,George Bush,1989,10
Argentina,George Bush,1990,53
Argentina,George Bush,1991,18
Argentina,George Bush,1992,11
Argentina,George W. Bush,2001,29
Argentina,George W. Bush,2002,19
Argentina,George W. Bush,2005,25
Argentina,George W. Bush,2006,1
Argentina,George W. Bush,2007,7
Argentina,Gerald R. Ford,1974,1
Argentina,Gerald R. Ford,1975,1
Argentina,Herbert Hoover,1929,1
Argentina,Herbert Hoover,1930,3
Argentina,Herbert Hoover,1931,1
Argentina,Herbert Hoover,1932,1
Argentina,Jimmy Carter,1977,14
Argentina,Jimmy Carter,1978,10
Argentina,Jimmy Carter,1979,6
Argentina,Jimmy Carter,1980,5
Argentina,John F. Kennedy,1961,1
Argentina,John F. Kennedy,1962,2
Argentina,John F. Kennedy,1963,5
Argentina,"Joseph R. Biden, Jr.",2021,1
Argentina,"Joseph R. Biden, Jr.",2022,3
Argentina,"Joseph R. Biden, Jr.",2023,5
Argentina,Lyndon B. Johnson,1964,3
Argentina,Lyndon B. Johnson,1966,4
Argentina,Lyndon B. Johnson,1968,3
Argentina,Richard Nixon,1971,1
Argentina,Richard Nixon,1973,2
Argentina,Ronald Reagan,1982,32
Argentina,Ronald Reagan,1983,5
Argentina,Ronald Reagan,1984,3
Argentina,Ronald Reagan,1985,15
Argentina,Ronald Reagan,1986,3
Argentina,Ronald Reagan,1987,3
Argentina,Ronald Reagan,1988,4
Argentina,William J. Clinton,1993,62
Argentina,William J. Clinton,1994,20
Argentina,William J. Clinton,1995,11
Argentina,William J. Clinton,1997,87
Argentina,William J. Clinton,1998,7
Argentina,William J. Clinton,1999,16
Argentina,William J. Clinton,2000,9
Argentina,Woodrow Wilson,1919,1
Armenia,Barack Obama,2009,7
Armenia,Barack Obama,2010,1
Armenia,Barack Obama,2014,1
Armenia,Donald J. Trump (1st Term),2020,7
Armenia,Donald J. Trump (2nd Term),2025,29
Armenia,Donald J. Trump (2nd Term),2026,1
Armenia,George Bush,1989,4
Armenia,George Bush,1991,2
Armenia,George Bush,1992,9
Armenia,George W. Bush,2004,1
Armenia,George W. Bush,2006,2
Armenia,John F. Kennedy,1961,1
Armenia,Ronald Reagan,1988,4
Armenia,Ronald Reagan,1989,3
Armenia,William J. Clinton,1993,3
Armenia,William J. Clinton,1994,2
Armenia,William J. Clinton,1995,1
Armenia,William J. Clinton,1999,7
Armenia,William J. Clinton,2000,1
Armenia,Woodrow Wilson,1919,5
Australia,Barack Obama,2009,19
Australia,Barack Obama,2010,7
Australia,Barack Obama,2011,105
Australia,Barack Obama,2012,7
Australia,Barack Obama,2013,1
Australia,Barack Obama,2014,64
Australia,Barack Obama,2015,20
Australia,Barack Obama,2016,26
Australia,Barack Obama,2017,1
Australia,Calvin Coolidge,1925,1
Australia,Calvin Coolidge,1926,1
Australia,Calvin Coolidge,1928,3
Australia,Donald J. Trump (1st Term),2017,28
Australia,Donald J. Trump (1st Term),2018,38
Australia,Donald J. Trump (1st Term),2019,137
Australia,Donald J. Trump (1st Term),2020,18
Australia,Donald J. Trump (2nd Term),2025,101
Australia,Dwight D. Eisenhower,1954,6
Australia,Dwight D. Eisenhower,1955,1
Australia,Dwight D. Eisenhower,1957,1
Australia,Dwight D. Eisenhower,1959,1
Australia,Dwight D. Eisenhower,1960,2
Australia,Franklin D. Roosevelt,1933,2
Australia,Franklin D. Roosevelt,1939,1
Australia,Franklin D. Roosevelt,1940,1
Australia,Franklin D. Roosevelt,1941,3
Australia,Franklin D. Roosevelt,1942,9
Australia,Franklin D. Roosevelt,1943,9
Australia,Franklin D. Roosevelt,1944,7
Australia,George Bush,1989,22
Australia,George Bush,1990,11
Australia,George Bush,1991,17
Australia,George Bush,1992,88
Australia,George W. Bush,2001,20
Australia,George W. Bush,2002,22
Australia,George W. Bush,2003,98
Australia,George W. Bush,2004,50
Australia,George W. Bush,2005,33
Australia,George W. Bush,2006,48
Australia,George W. Bush,2007,64
Australia,George W. Bush,2008,17
Australia,George W. Bush,2009,2
Australia,Gerald R. Ford,1974,1
Australia,Gerald R. Ford,1975,2
Australia,Gerald R. Ford,1976,26
Australia,Herbert Hoover,1929,1
Australia,Herbert Hoover,1930,2
Australia,Herbert Hoover,1931,2
Australia,Herbert Hoover,1932,3
Australia,Jimmy Carter,1977,23
Australia,Jimmy Carter,1978,4
Australia,Jimmy Carter,1979,7
Australia,Jimmy Carter,1980,21
Australia,John F. Kennedy,1961,2
Australia,John F. Kennedy,1962,18
Australia,John F. Kennedy,1963,20
Australia,"Joseph R. Biden, Jr.",2021,48
Australia,"Joseph R. Biden, Jr.",2022,29
Australia,"Joseph R. Biden, Jr.",2023,148
Australia,"Joseph R. Biden, Jr.",2024,27
Australia,"Joseph R. Biden, Jr.",2025,4
Australia,Lyndon B. Johnson,1963,1
Australia,Lyndon B. Johnson,1964,14
Australia,Lyndon B. Johnson,1965,4
Australia,Lyndon B. Johnson,1966,87
Australia,Lyndon B. Johnson,1967,31
Australia,Lyndon B. Johnson,1968,26
Australia,Richard Nixon,1969,7
Australia,Richard Nixon,1970,1
Australia,Richard Nixon,1971,12
Australia,Richard Nixon,1972,1
Australia,Ronald Reagan,1981,22
Australia,Ronald Reagan,1982,7
Australia,Ronald Reagan,1983,17
Australia,Ronald Reagan,1984,6
Australia,Ronald Reagan,1985,16
Australia,Ronald Reagan,1986,25
Australia,Ronald Reagan,1987,6
Australia,Ronald Reagan,1988,17
Australia,Theodore Roosevelt,1903,1
Australia,William Howard Taft,1909,2
Australia,William Howard Taft,1910,2
Australia,William J. Clinton,1993,28
Australia,William J. Clinton,1994,4
Australia,William J. Clinton,1995,5
Australia,William J. Clinton,1996,73
Australia,William J. Clinton,1997,3
Australia,William J. Clinton,1998,13
Australia,William J. Clinton,1999,16
Australia,William J. Clinton,2000,22
Australia,Woodrow Wilson,1919,8
Austria,Barack Obama,2009,1
Austria,Barack Obama,2016,1
Austria,Calvin Coolidge,1924,2
Austria,Calvin Coolidge,1925,1
Austria,Calvin Coolidge,1926,1
Austria,Calvin Coolidge,1928,4
Austria,Donald J. Trump (1st Term),2017,1
Austria,Donald J. Trump (1st Term),2018,2
Austria,Donald J. Trump (1st Term),2019,6
Austria,Donald J. Trump (1st Term),2020,7
Austria,Donald J. Trump (2nd Term),2025,6
Austria,Dwight D. Eisenhower,1953,6
Austria,Dwight D. Eisenhower,1954,8
Austria,Dwight D. Eisenhower,1955,6
Austria,Dwight D. Eisenhower,1956,4
Austria,Dwight D. Eisenhower,1957,1
Austria,Dwight D. Eisenhower,1958,3
Austria,Dwight D. Eisenhower,1959,1
Austria,Dwight D. Eisenhower,1960,3
Austria,Franklin D. Roosevelt,1938,3
Austria,Franklin D. Roosevelt,1940,1
Austria,Franklin D. Roosevelt,1941,3
Austria,George Bush,1989,6
Austria,George Bush,1990,1
Austria,George W. Bush,2005,1
Austria,George W. Bush,2006,8
Austria,Gerald R. Ford,1974,13
Austria,Gerald R. Ford,1975,12
Austria,Herbert Hoover,1929,1
Austria,Herbert Hoover,1931,1
Austria,Herbert Hoover,1932,4
Austria,Jimmy Carter,1979,8
Austria,Jimmy Carter,1980,5
Austria,John F. Kennedy,1961,4
Austria,John F. Kennedy,1962,5
Austria,"Joseph R. Biden, Jr.",2021,1
Austria,"Joseph R. Biden, Jr.",2022,1
Austria,"Joseph R. Biden, Jr.",2025,1
Austria,Lyndon B. Johnson,1966,7
Austria,Lyndon B. Johnson,1967,1
Austria,Lyndon B. Johnson,1968,4
Austria,Richard Nixon,1970,1
Austria,Richard Nixon,1971,1
Austria,Richard Nixon,1972,11
Austria,Richard Nixon,1973,5
Austria,Richard Nixon,1974,5
Austria,Ronald Reagan,1964,1
Austria,Ronald Reagan,1981,2
Austria,Ronald Reagan,1982,6
Austria,Ronald Reagan,1983,11
Austria,Ronald Reagan,1984,30
Austria,Ronald Reagan,1985,1
Austria,Ronald Reagan,1986,12
Austria,Ronald Reagan,1988,1
Austria,Theodore Roosevelt,1905,1
Austria,William Howard Taft,1909,1
Austria,William J. Clinton,1994,4
Austria,William J. Clinton,1995,1
Austria,William J. Clinton,1996,1
