state,abbr,president,year,mentions
Alabama,AL,Abraham Lincoln,1860,1
Alabama,AL,Andrew Johnson,1866,1
Alabama,AL,Barack Obama,2009,9
Alabama,AL,Barack Obama,2010,26
Alabama,AL,Barack Obama,2011,28
Alabama,AL,Barack Obama,2012,7
Alabama,AL,Barack Obama,2013,16
Alabama,AL,Barack Obama,2014,4
Alabama,AL,Barack Obama,2015,32
Alabama,AL,Barack Obama,2016,9
Alabama,AL,Barack Obama,2017,1
Alabama,AL,Calvin Coolidge,1927,1
Alabama,AL,Calvin Coolidge,1928,1
Alabama,AL,Donald J. Trump (1st Term),2017,62
Alabama,AL,Donald J. Trump (1st Term),2018,49
Alabama,AL,Donald J. Trump (1st Term),2019,68
Alabama,AL,Donald J. Trump (1st Term),2020,48
Alabama,AL,Donald J. Trump (1st Term),2021,3
Alabama,AL,Donald J. Trump (2nd Term),2025,81
Alabama,AL,Donald J. Trump (2nd Term),2026,1
Alabama,AL,Dwight D. Eisenhower,1954,3
Alabama,AL,Dwight D. Eisenhower,1955,1
Alabama,AL,Dwight D. Eisenhower,1956,1
Alabama,AL,Dwight D. Eisenhower,1957,1
Alabama,AL,Dwight D. Eisenhower,1958,1
Alabama,AL,Dwight D. Eisenhower,1959,1
Alabama,AL,Franklin D. Roosevelt,1934,2
Alabama,AL,Franklin D. Roosevelt,1936,1
Alabama,AL,Franklin D. Roosevelt,1938,4
Alabama,AL,Franklin D. Roosevelt,1939,5
Alabama,AL,Franklin D. Roosevelt,1940,1
Alabama,AL,Franklin D. Roosevelt,1941,1
Alabama,AL,Franklin D. Roosevelt,1942,2
Alabama,AL,George Bush,1989,8
Alabama,AL,George Bush,1990,37
Alabama,AL,George Bush,1991,9
Alabama,AL,George Bush,1992,14
Alabama,AL,George W. Bush,2001,30
Alabama,AL,George W. Bush,2002,34
Alabama,AL,George W. Bush,2003,22
Alabama,AL,George W. Bush,2004,18
Alabama,AL,George W. Bush,2005,39
Alabama,AL,George W. Bush,2006,28
Alabama,AL,George W. Bush,2007,24
Alabama,AL,George W. Bush,2008,4
Alabama,AL,Gerald R. Ford,1974,2
Alabama,AL,Gerald R. Ford,1975,3
Alabama,AL,Gerald R. Ford,1976,38
Alabama,AL,Herbert Hoover,1929,2
Alabama,AL,Herbert Hoover,1930,1
Alabama,AL,Jimmy Carter,1977,12
Alabama,AL,Jimmy Carter,1978,8
Alabama,AL,Jimmy Carter,1979,19
Alabama,AL,Jimmy Carter,1980,14
Alabama,AL,John F. Kennedy,1962,5
Alabama,AL,John F. Kennedy,1963,21
Alabama,AL,"Joseph R. Biden, Jr.",2021,11
Alabama,AL,"Joseph R. Biden, Jr.",2022,18
Alabama,AL,"Joseph R. Biden, Jr.",2023,40
Alabama,AL,"Joseph R. Biden, Jr.",2024,22
Alabama,AL,Lyndon B. Johnson,1964,17
Alabama,AL,Lyndon B. Johnson,1965,40
Alabama,AL,Lyndon B. Johnson,1966,5
Alabama,AL,Lyndon B. Johnson,1967,1
Alabama,AL,Lyndon B. Johnson,1968,3
Alabama,AL,Richard Nixon,1970,1
Alabama,AL,Richard Nixon,1971,3
Alabama,AL,Richard Nixon,1972,5
Alabama,AL,Richard Nixon,1974,6
Alabama,AL,Ronald Reagan,1981,1
Alabama,AL,Ronald Reagan,1982,18
Alabama,AL,Ronald Reagan,1983,4
Alabama,AL,Ronald Reagan,1984,17
Alabama,AL,Ronald Reagan,1985,6
Alabama,AL,Ronald Reagan,1986,28
Alabama,AL,Ronald Reagan,1988,3
Alabama,AL,Theodore Roosevelt,1902,1
Alabama,AL,Theodore Roosevelt,1905,16
Alabama,AL,Warren G. Harding,1921,6
Alabama,AL,William Howard Taft,1909,4
Alabama,AL,William J. Clinton,1993,27
Alabama,AL,William J. Clinton,1994,8
Alabama,AL,William J. Clinton,1995,9
Alabama,AL,William J. Clinton,1996,15
Alabama,AL,William J. Clinton,1997,4
Alabama,AL,William J. Clinton,1998,17
Alabama,AL,William J. Clinton,1999,5
Alabama,AL,William J. Clinton,2000,19
Alaska,AK,Barack Obama,2009,26
Alaska,AK,Barack Obama,2010,6
Alaska,AK,Barack Obama,2011,12
Alaska,AK,Barack Obama,2012,3
Alaska,AK,Barack Obama,2013,1
Alaska,AK,Barack Obama,2014,4
Alaska,AK,Barack Obama,2015,72
Alaska,AK,Barack Obama,2016,18
Alaska,AK,Calvin Coolidge,1924,3
Alaska,AK,Calvin Coolidge,1925,4
Alaska,AK,Calvin Coolidge,1926,7
Alaska,AK,Calvin Coolidge,1927,2
Alaska,AK,Donald J. Trump (1st Term),2017,28
Alaska,AK,Donald J. Trump (1st Term),2018,31
Alaska,AK,Donald J. Trump (1st Term),2019,44
Alaska,AK,Donald J. Trump (1st Term),2020,38
Alaska,AK,Donald J. Trump (1st Term),2021,4
Alaska,AK,Donald J. Trump (2nd Term),2025,83
Alaska,AK,Dwight D. Eisenhower,1953,6
Alaska,AK,Dwight D. Eisenhower,1954,12
Alaska,AK,Dwight D. Eisenhower,1955,7
Alaska,AK,Dwight D. Eisenhower,1956,5
Alaska,AK,Dwight D. Eisenhower,1958,9
Alaska,AK,Dwight D. Eisenhower,1959,3
Alaska,AK,Dwight D. Eisenhower,1960,9
Alaska,AK,Franklin D. Roosevelt,1935,1
Alaska,AK,Franklin D. Roosevelt,1939,1
Alaska,AK,Franklin D. Roosevelt,1940,1
Alaska,AK,Franklin D. Roosevelt,1942,3
Alaska,AK,Franklin D. Roosevelt,1943,3
Alaska,AK,Franklin D. Roosevelt,1944,23
Alaska,AK,George Bush,1989,35
Alaska,AK,George Bush,1990,13
Alaska,AK,George Bush,1991,23
Alaska,AK,George Bush,1992,15
Alaska,AK,George W. Bush,2001,17
Alaska,AK,George W. Bush,2002,31
Alaska,AK,George W. Bush,2004,8
Alaska,AK,George W. Bush,2005,11
Alaska,AK,George W. Bush,2006,4
Alaska,AK,George W. Bush,2007,9
Alaska,AK,George W. Bush,2008,18
Alaska,AK,Gerald R. Ford,1974,17
Alaska,AK,Gerald R. Ford,1975,52
Alaska,AK,Gerald R. Ford,1976,20
